회사명 : (주)청명기연환경 / 2025/01/01  ~ 2025/11/07  / AS수리현황,,,,,,,,
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,수리내역,일련번호
25/03/04-12,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1515022
25/03/04-13,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점검 및 수리,K1612016
25/03/04-13,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1612016
25/03/04-14,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점검 및 수리,K1612017
25/03/04-14,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1612017
25/03/04-15,켐익 정도검사,켐익,정도검사,김균학,(PM-10) E-BAM,"250,000",정도검사 점검,R10783
25/03/04-15,켐익 정도검사,켐익,정도검사,김균학,(PM-10) E-BAM,"2,218,000","Pump,bracket",R10783
25/03/04-16,켐익 정도검사,켐익,정도검사,김균학,(PM-2.5) E-BAM,"250,000",정도검사 점검,T25861
25/03/04-16,켐익 정도검사,켐익,정도검사,김균학,(PM-2.5) E-BAM,"185,000","Glass Filter,25M",T25861
25/03/04-17,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P366
25/03/04-18,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P367
25/03/04-19,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P368
25/03/04-19,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,,SD카드교체,18P368
25/03/04-20,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P369
25/03/04-21,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P370
25/03/04-22,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P371
25/03/04-22,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"150,000",백엽상파손 수분유입 교체,18P371
25/03/04-23,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P372
25/03/04-24,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P373
25/03/04-24,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"100,000",외장온습도교체,18P373
25/03/04-25,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P374
25/03/04-26,켐익 정도검사,켐익,정도검사,김균학,(PM-10) KMS-4200,"50,000",정도검사,18P375
