회사명 : (주)청명기연환경 / 2025/08/25  ~ 2025/08/28  / 장비투입현황,,,,,,,
일자-No.,출고창고명,입고창고명,장비명,일련번호,수량,장비상태,비고
2025/08/27 -6,현장,청명,(CO) Serinus30,17-1509,1,,A-1
2025/08/27 -6,현장,청명,(NO2) Serinus40,18-0984,1,,A-1
2025/08/27 -6,현장,청명,(SO2) Serinus50,18-0318,1,,A-1
2025/08/27  계,,,,,44,,
2025/08/28 -1,현장,청명,Kestrel5500,2390486,1,,
2025/08/28 -1,현장,청명,악취샘플링 흡인박스,흡인박스4,1,,
2025/08/28 -1,현장,청명,KMS-5100,23KR1730,1,,
2025/08/28 -1,현장,청명,KMS-5100,23KR1728,1,,
2025/08/28 -1,현장,청명,악취샘플링 흡인박스,흡인박스5,1,,
2025/08/28 -1,현장,청명,COS-100,KM014W16CO22,1,,
2025/08/28 -1,현장,청명,(VOCs) MP-Σ30KNⅡ,770656,1,,
2025/08/28 -1,현장,청명,MP-Σ100KNⅡ,840487,1,,
2025/08/28  계,,,,,8,,
2025/08/28  오전 10:12:29,,,,,,,
